Statistics,COPE,COPE,VARCOPE,VARCOPE,z,z,p,p
Contrast,STIM>CTRL,CTRL>STIM,STIM>CTRL,CTRL>STIM,STIM>CTRL,CTRL>STIM,STIM>CTRL,CTRL>STIM
conc_Asc_beta0,-0.00019656891527120024,0.00019656891527120024,1.0134034482689458e-06,1.0134034482689458e-06,-0.18972724676132202,0.18972724676132202,0.5752385656194259,0.4247614343805741
conc_Asc_beta1,0.0009365124278701842,-0.0009365124278701842,1.563093292133999e-06,1.563093292133999e-06,0.7177053689956665,-0.7177053689956665,0.23646948606507673,0.7635305139349233
conc_Asc_beta2,-0.0032409336417913437,0.0032409336417913437,2.708302645260119e-06,2.708302645260119e-06,-1.7482140064239502,1.7482140064239502,0.9597865114256046,0.04021348857439546
conc_Asc_beta3,0.0001418483880115673,-0.0001418483880115673,5.222064828558359e-06,5.222064828558359e-06,0.06036955490708351,-0.06036955490708351,0.4759306530406864,0.5240693469593136
conc_Asp_beta0,-0.00324288965202868,0.00324288965202868,2.8924710022693034e-06,2.8924710022693034e-06,-1.7011202573776245,1.7011202573776245,0.9555397961309167,0.044460203869083344
conc_Asp_beta1,-0.005571561865508556,0.005571561865508556,3.945316166209523e-06,3.945316166209523e-06,-2.3162713050842285,2.3162713050842285,0.9897282699717681,0.010271730028231858
conc_Asp_beta2,0.0023355605080723763,-0.0023355605080723763,4.100419573660474e-06,4.100419573660474e-06,1.0837857723236084,-1.0837857723236084,0.1392298974830684,0.8607701025169316
conc_Asp_beta3,-0.00122626475058496,0.00122626475058496,1.368192442896543e-05,1.368192442896543e-05,-0.3214882016181946,0.3214882016181946,0.6260797740659685,0.37392022593403146
conc_Cr_beta0,-0.0006913503748364747,0.0006913503748364747,1.3693037317352719e-06,1.3693037317352719e-06,-0.5692523121833801,0.5692523121833801,0.7154075378211564,0.2845924621788436
conc_Cr_beta1,-0.0017961187986657023,0.0017961187986657023,3.0783730835537426e-06,3.0783730835537426e-06,-0.9686852097511292,0.9686852097511292,0.8336488629007699,0.1663511370992301
conc_Cr_beta2,0.00515160383656621,-0.00515160383656621,1.2667520422837697e-05,1.2667520422837697e-05,1.3355501890182495,-1.3355501890182495,0.09084817017365665,0.9091518298263433
conc_Cr_beta3,-0.000494806095957756,0.000494806095957756,4.760863248520764e-06,4.760863248520764e-06,-0.22026222944259644,0.22026222944259644,0.5871665328322473,0.41283346716775265
